Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h)
2/11/2019,16,33.5,0,N,39,12:53,23.3,55,ENE,6,32.7,24,N,17
3/11/2019,16.1,33.4,0,NW,56,16:54,26.8,41,NW,26,31.8,30,NW,35
4/11/2019,16,28.3,10.8,NNW,37,14:09,20.7,76,WNW,9,27.6,27,NW,24
5/11/2019,13,22.7,4,ESE,44,15:36,15.9,55,SW,15,21.3,34,S,19
6/11/2019,8.8,28.9,0,NNW,48,13:03,16.4,61,NW,20,27.2,14,NW,30
7/11/2019,16.3,32.9,0,WNW,67,13:21,25.5,20,NW,31,31.7,9,NW,37
8/11/2019,17.1,31.3,0,WNW,76,14:26,23.8,27,NNW,22,30.4,16,WNW,35
9/11/2019,13,23.5,0,WSW,50,15:19,16.1,27,W,24,22.2,10,WSW,26
10/11/2019,12.8,29,0,E,48,15:38,18.8,32,WNW,15,27.1,20,SSW,20
11/11/2019,11.5,30.7,0,NNW,31,10:53,18.9,62,NNE,4,28.3,23,ENE,9
12/11/2019,13.7,36.5,0,NNW,80,14:10,24.7,20,NW,19,35.6,6,NW,37
13/11/2019,13.1,28.9,0,N,37,14:07,18.8,21,SW,13,26.6,9,NNW,22
14/11/2019,11.3,30.7,0,NNW,43,15:16,19.5,28,WNW,7,28.7,15,NW,24
15/11/2019,14.8,34.1,0,NNW,54,13:37,23.3,28,NNW,28,33.3,9,NW,30
16/11/2019,15.1,28.5,0,E,50,17:03,19.6,60,ESE,7,27.2,34,E,19
17/11/2019,16.5,27.8,0,ESE,48,15:22,20.8,63,WSW,9,24.9,43,ESE,31
18/11/2019,13.9,31,0,N,35,16:30,19.5,62,NE,9,29.1,25,NW,11
19/11/2019,15.4,36.7,0,S,44,22:38,25.7,19,NW,13,35.2,9,S,9
